society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
Antriksh Heights,73.0,6083.0,2.0,2.0,3.0,4.0,North-West,Relatively New,2, Sector 84 Gurgaon,19.0,0,1,1,1,870.0,,1200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120006575702778
DLF New Town Heights ,126.0,6113.0,3.0,3.0,3.0,5.0,West,Moderately Old,3, Sector 86 Gurgaon,22.0,1,0,0,0,,,1930.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206118108948143
DLF New Town Heights ,125.0,6476.0,3.0,3.0,3.0,6.0,West,Relatively New,3, Sector 90 Gurgaon,19.0,1,0,1,0,1928.0,1929.0,1930.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193020382952439
DLF New Town Heights ,188.0,6894.0,4.0,4.0,3.0,20.0,South,Relatively New,4, Sector 90 Gurgaon,28.0,1,0,1,0,2725.0,2726.0,2727.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272700899332753
DLF New Town Heights ,130.0,6735.0,3.0,3.0,3.0,10.0,South,Relatively New,3, Sector 90 Gurgaon,19.0,1,0,1,0,1928.0,1929.0,1930.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0.0193021529324424
Pyramid Urban Homes ,44.0,7321.0,2.0,2.0,2.0,6.0,East,Relatively New,2, Sector 86 Gurgaon,14.0,0,0,0,0,601.0,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,44,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0060101079087556
Antriksh Heights,84.0,4869.0,3.0,3.0,3.0,8.0,,New Property,3, Sector 84 Gurgaon,19.0,0,0,1,0,,,1725.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172520024645717
Antriksh Heights,79.0,4579.0,3.0,3.0,3.0,8.0,West,New Property,3, Sector 84 Gurgaon,19.0,0,0,0,0,,,1725.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172526752566062
Mapsko Casa Bella,138.0,5443.0,4.0,5.0,3.0,20.0,South-West,Relatively New,4, Sector 82 Gurgaon,25.0,1,0,0,0,,,2535.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253536652581297
Sobha City,260.0,15195.0,3.0,3.0,2.0,11.0,South,New Property,3, Sector 108 Gurgaon,18.0,0,0,0,0,,,1711.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171108917407041
Tulip Violet,170.0,8445.0,4.0,4.0,2.0,7.0,West,Relatively New,4, Sector 69 Gurgaon,14.0,0,0,0,0,,,2010.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0201302545885139
Tulip Violet,170.0,8432.0,4.0,4.0,2.0,10.0,South,New Property,4, Sector 69 Gurgaon,14.0,0,0,0,0,,,2010.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0201612903225806
Tulip Violet,140.0,8856.0,3.0,3.0,2.0,9.0,West,Relatively New,3, Sector 69 Gurgaon,14.0,0,0,1,0,,,1578.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0158084914182475
Tulip Violet,168.0,8358.0,4.0,4.0,2.0,7.0,North,Relatively New,4, Sector 69 Gurgaon,14.0,0,0,0,0,,,2010.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0201005025125628
Tulip Violet,170.0,8457.0,4.0,4.0,2.0,1.0,South,Relatively New,4, Sector 69 Gurgaon,14.0,0,0,0,0,,,2010.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0201016909069409
Tulip Violet,140.0,8840.0,3.0,3.0,2.0,1.0,North-East,Relatively New,3, Sector 69 Gurgaon,14.0,0,0,0,0,,,1578.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0158371040723981
Ramprastha Primera,120.0,13333.0,3.0,3.0,3.0,5.0,North-East,Relatively New,3, Sector 37D Gurgaon,22.0,0,0,0,1,900.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,27,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0090002250056251
Godrej Aria,96.0,13296.0,2.0,2.0,3.0,8.0,North-East,Relatively New,2, Sector 79 Gurgaon,15.0,0,0,0,0,722.0,,1351.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072202166064981
Microtek Greenburg,130.0,15294.0,2.0,3.0,3.0,5.0,North-East,Relatively New,2, Sector 86 Gurgaon,21.0,0,1,0,0,850.0,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,27,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0085000653851183
Bestech Park View Sanskruti,160.0,7547.0,3.0,3.0,3.0,10.0,East,Relatively New,3, Sector 92 Gurgaon,20.0,1,0,0,0,1450.0,,2120.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,24,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,3,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0.0212004770107327
Microtek Greenburg,193.0,8446.0,3.0,4.0,3.0,12.0,East,Relatively New,3, Sector 86 Gurgaon,21.0,1,0,0,0,,,2285.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0228510537532559
Bestech Park View Sanskruti,142.0,7760.0,3.0,3.0,2.0,10.0,East,Relatively New,3, Sector 92 Gurgaon,19.0,0,0,0,0,,,1920.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0182989690721649
DLF The Ultima,220.00000000000003,10476.0,3.0,4.0,3.0,17.0,East,Relatively New,3, Sector 81 Gurgaon,29.0,1,0,0,0,,,2100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,3,1,1,1,4,1,0,1,3,0,0,0,0,0,0,0,0,1,0.021000381825124
DLF The Skycourt,135.0,6998.0,3.0,3.0,1.0,9.0,North-West,Relatively New,3, Sector 86 Gurgaon,19.0,0,0,0,0,,,1929.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,52,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192912260645898
Microtek Greenburg,165.0,8707.0,3.0,4.0,3.0,8.0,North-West,Relatively New,3, Sector 86 Gurgaon,21.0,1,0,0,0,,,1895.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0189502698977833
Parsvnath Green Ville,142.0,8606.0,3.0,3.0,3.0,1.0,North-West,Moderately Old,3, Sector 48 Gurgaon,19.0,0,0,0,1,,,1650.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,1,0.0165001161980013
Paras Dews,110.0,9734.0,3.0,4.0,3.0,8.0,North-West,Relatively New,3, Sector 106 Gurgaon,24.0,1,0,0,0,1130.0,1186.0,1760.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,3,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,2,0.0113005958495993
Pareena Coban Residences,123.0,6159.0,3.0,5.0,3.0,5.0,North-East,Relatively New,3, Sector 99A Gurgaon,20.0,1,0,0,0,,,1997.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,53,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.019970774476376
Bestech Park View Sanskruti,150.0,7812.0,3.0,3.0,3.0,3.0,East,Relatively New,3, Sector 92 Gurgaon,19.0,0,0,0,0,,,1920.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192012288786482
Shree Vardhman Flora,65.0,5000.0,2.0,2.0,2.0,12.0,East,Old Property,2, Sector 90 Gurgaon,13.0,0,1,0,0,,,1300.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013
Shree Vardhman Flora,64.0,4923.0,2.0,2.0,3.0,6.0,East,Old Property,2, Sector 90 Gurgaon,13.0,0,1,0,0,1100.0,,1300.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130002031281738
BPTP Terra,165.0,8790.0,3.0,3.0,2.0,15.0,East,Relatively New,3, Sector 37D Gurgaon,20.0,0,0,0,0,,,1877.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,45,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187713310580204
BPTP Terra,117.0,8297.0,2.0,2.0,2.0,0.0,North-East,Relatively New,2, Sector 37D Gurgaon,23.0,0,0,0,0,,,1410.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,45,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014101482463541
BPTP Terra,145.0,8006.0,3.0,3.0,3.0,9.0,North-East,Relatively New,3, Sector 37D Gurgaon,20.0,0,0,0,0,,,1811.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,45,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181114164376717
Shapoorji Pallonji Joyville Gurugram,195.0,13928.0,3.0,3.0,3.0,6.0,North-East,New Property,3, Sector 102 Gurgaon,26.0,0,0,1,0,1400.0,,1852.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4,3,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,2,0.0140005743825387
Bestech Park View Grand Spa,420.0,10000.0,4.0,4.0,3.0,25.0,South,Relatively New,4, Sector 81 Gurgaon,29.0,1,0,0,0,2900.0,,4200.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,41,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.042
Bestech Park View Sanskruti,155.0,7769.0,3.0,4.0,3.0,8.0,North,Relatively New,3, Sector 92 Gurgaon,19.0,1,0,0,0,,,1995.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199510876560689
SS The Leaf,158.0,7714.0,3.0,4.0,3.0,8.0,East,Relatively New,3, Sector 85 Gurgaon,24.0,1,0,0,0,2048.0,,2408.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020482240082966
Bestech Park View Spa Next,232.0,11989.0,3.0,4.0,3.0,14.0,North-East,Moderately Old,3, Sector 67 Gurgaon,15.0,1,0,0,0,1600.0,,1935.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,34,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0193510718158311
Microtek Greenburg,125.0,8445.0,3.0,4.0,3.0,0.0,South-West,Relatively New,3, Sector 86 Gurgaon,21.0,0,1,0,0,,,1480.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148016577856719
Ireo The Grand Arch,220.00000000000003,13480.0,2.0,2.0,1.0,5.0,North-East,Relatively New,2, sector 58 Gurgaon,29.0,0,1,0,0,1232.0,1432.0,1632.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.016320474777448
Paras Dews,140.0,9978.0,4.0,6.0,3.0,10.0,North-West,Relatively New,4, Sector 106 Gurgaon,24.0,1,0,0,0,1403.0,1535.0,2355.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140308679094006
Paras Dews,120.0,11605.0,3.0,3.0,3.0,12.0,North-West,Relatively New,3, Sector 106 Gurgaon,24.0,0,1,0,0,1034.0,1145.0,1665.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103403705299439
Vatika XpreSS The Leafions,92.0,7360.0,2.0,2.0,2.0,3.0,North,Relatively New,2, Sector 88B Gurgaon,3.0,0,0,1,0,1250.0,1300.0,1350.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125
Paras Dews,125.0,10656.0,3.0,4.0,3.0,14.0,East,Relatively New,3, Sector 106 Gurgaon,24.0,1,1,0,0,1173.0,1305.0,1900.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117304804804804
Paras Dews,125.0,11061.0,3.0,4.0,3.0,7.0,South-East,Relatively New,3, Sector 106 Gurgaon,24.0,1,1,0,0,1130.0,1186.0,1760.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113009673628062
Vatika City,185.0,10578.0,3.0,3.0,1.0,7.0,South-West,Moderately Old,3, Sector 49 Gurgaon,17.0,0,0,1,1,,1471.12,1748.87,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174891283796558
Vatika City,169.0,8622.0,3.0,3.0,3.0,3.0,North,Moderately Old,3, Sector 49 Gurgaon,17.0,0,0,1,0,1960.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,40,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196010206448619
Emaar MGF The Palm Drive,350.0,15901.0,3.0,3.0,2.0,4.0,South,Relatively New,3, Sector 66 Gurgaon,17.0,0,1,0,0,1800.0,2200.0,2201.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,46,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220111942645116
Emaar MGF The Palm Drive,151.0,15130.0,2.0,2.0,2.0,5.0,North,Relatively New,2, Sector 66 Gurgaon,17.0,0,0,1,0,998.0,1188.0,1200.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,46,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0.0099801718440185
Parsvnath Green Ville,186.0,7654.0,3.0,3.0,3.0,6.0,North,Moderately Old,3, Sector 48 Gurgaon,19.0,1,0,0,0,,,2430.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,29,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0243010190749934
Experion The Heartsong,170.0,8487.0,3.0,4.0,3.0,14.0,South-East,Relatively New,3, Sector 108 Gurgaon,15.0,1,0,0,0,1140.98,1500.29,2003.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200306350889595
Experion The Heartsong,200.0,8554.0,3.0,3.0,3.0,14.0,East,Relatively New,3, Sector 108 Gurgaon,14.0,1,0,0,0,,,2338.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233808744447042
Godrej Summit,125.0,6778.0,3.0,4.0,3.0,12.0,East,Relatively New,3, Sector 104 Gurgaon,17.0,1,0,0,0,,,1844.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184420182944821
Godrej Summit,98.0,5950.0,3.0,3.0,3.0,12.0,East,Relatively New,3, Sector 104 Gurgaon,17.0,0,0,0,0,,,1647.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164705882352941
Godrej Summit,85.0,5878.0,2.0,2.0,3.0,10.0,East,Relatively New,2, Sector 104 Gurgaon,17.0,0,1,0,0,777.0,1269.0,1446.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144607009186798
Godrej Summit,75.0,5910.0,2.0,2.0,3.0,6.0,East,Relatively New,2, Sector 104 Gurgaon,17.0,0,0,0,0,,,1269.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126903553299492
