society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
La Vida by Tata Housing,285.0,12855.0,3.0,3.0,3.0,10.0,East,New Property,3, Sector 113 Gurgaon,25.0,1,0,0,0,,,2217.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221703617269544
The Serenas,42.0,7910.0,2.0,2.0,1.0,3.0,,Undefined,2, Sector 36 Gurgaon,3.0,0,0,0,0,531.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053097345132743
MM Golfestate,615.0,18331.0,3.0,4.0,2.0,20.0,North-East,Undefined,3, Sector 65 Gurgaon,20.0,0,0,0,0,2200.0,3355.0,,,,,,,,,,,,,,,,,,,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335497245103922
Central Park Resort Belgravia Residences,625.0,24300.0,3.0,5.0,3.0,5.0,South-East,Moderately Old,3, Sector 48 Gurgaon,17.0,1,0,0,0,2880.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,10,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0.0257201646090535
Apex builders,42.0,5600.0,2.0,2.0,2.0,4.0,North,Relatively New,2, Sector 37C Gurgaon,12.0,0,0,0,0,750.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075
Godrej Habitat,135.0,12784.0,2.0,2.0,0.0,4.0,North-East,Undefined,2, Sector 3 Gurgaon,4.0,0,0,0,0,912.0,1056.0,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105600750938673
Ompee K S Residency,160.0,26936.0,2.0,2.0,2.0,1.0,,Relatively New,2, New Palam Vihar,4.0,0,0,0,0,66.0,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059400059400059
Bhawna CGHS,325.0,10156.0,4.0,4.0,3.0,12.0,,Moderately Old,4, Sector 43 Gurgaon,12.0,0,0,1,0,3000.0,,3200.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,34,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0320007877116975
Adani Aangan Arcade,45.0,7194.0,2.0,2.0,1.0,8.0,,New Property,2, Sector 88A Gurgaon,12.0,0,0,0,0,625.47,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.006255212677231
Sare Green Parc,85.0,6538.0,3.0,2.0,2.0,20.0,,Undefined,3, Sector 92 Gurgaon,20.0,0,0,0,0,,1300.0,,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130009177118384
